beschreibung,alter,leistung,nutzung,schaltung,tank,co2,alles,verkaufer,ort,nation,price (euro),km,consumption (per 100km),brand,users
Long Range AWD Leder Schwarz Autopilot,12/2021,366 kW (498 hp),Used,Automatic,Electric,0 g/km (comb.),"Tesla Model 3 Long Range AWD Leder Schwarz Autopilot€ 47,980.-6,840 km12/2021366 kW (498 hp)Used1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)15 kWh/100 km (comb.)",Autohaus Stauner GmbH,Andreas Gogol • DE-93333 Neustadt a. d. Donau,deutschland,47980,6840,,Tesla,1
1.5T AT Luxury PSD+Navi+LED+360°+Sportsitze,07/2022,119 kW (162 hp),Employee's car,Automatic,Electric/Gasoline,43 g/km (comb.),"MG EHS 1.5T AT Luxury PSD+Navi+LED+360°+Sportsitze€ 33,899.-5,000 km07/2022119 kW (162 hp)Employee's car1 previous ownerAutomaticElectric/Gasoline1.8 l/100 km43 g/km (comb.)",Autohaus Astaller GmbH,Andreas Astaller • DE-84069 Schierling,deutschland,33899,5000,1.8,MG,1
Long Range AWD Leder Schwarz Autopilot,12/2021,366 kW (498 hp),Used,Automatic,Electric,0 g/km (comb.),"Tesla Model 3 Long Range AWD Leder Schwarz Autopilot€ 47,980.-6,882 km12/2021366 kW (498 hp)Used1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)16 kWh/100 km (comb.)",Autohaus Stauner GmbH,Andreas Gogol • DE-93333 Neustadt a. d. Donau,deutschland,47980,6882,,Tesla,1
VZ 2.0 TSI 4Drive DSG 19 LED Navi XL Kamera Beats,11/2020,228 kW (310 hp),Used,Automatic,Gasoline,175 g/km (comb.),"Cupra Formentor VZ 2.0 TSI 4Drive DSG 19 LED Navi XL Kamera Beats€ 37,950.-15,950 km11/2020228 kW (310 hp)Used1 previous ownerAutomaticGasoline7.7 l/100 km (comb.)175 g/km (comb.)",Auto Bierschneider GmbH,Verkaufsteam SEAT • DE-91781 Weissenburg,deutschland,37950,15950,7.7,Cupra,1
C-KLASSE LIM. 180 KOMP.*EGSD*AUT.*PDC*1.HAND*,03/2007,105 kW (143 hp),Used,Automatic,Gasoline,209 g/km (comb.),"Mercedes-Benz C 180 C-KLASSE LIM. 180 KOMP.*EGSD*AUT.*PDC*1.HAND*€ 6,990.-107,000 km03/2007105 kW (143 hp)Used1 previous ownerAutomaticGasoline8.7 l/100 km (comb.)209 g/km (comb.)",Automobilhandel Philipp Seyfarth,Ilhan Selim • DE-12107 Berlin,deutschland,6990,107000,8.7,Mercedes-Benz,1
Roadster 1.8 TFSI 6-Gang Navi+*EPH ht.*Soundsyst.*,02/2018,132 kW (179 hp),Used,Manual,Gasoline,142 g/km (comb.),"Audi TT Roadster 1.8 TFSI 6-Gang Navi+*EPH ht.*Soundsyst.*€ 27,420.-36,500 km02/2018132 kW (179 hp)Used1 previous ownerManualGasoline6.1 l/100 km (comb.)142 g/km (comb.)",Autohaus Göthling GmbH,Marco Pabst • DE-99817 Eisenach,deutschland,27420,36500,6.1,Audi,1
4M L 9G*AMG*Exclusiv*Pano*Digital-Light*21'',10/2021,370 kW (503 hp),Demonstration,Automatic,Gasoline,246 g/km (comb.),"Mercedes-Benz S 580 4M L 9G*AMG*Exclusiv*Pano*Digital-Light*21''€ 146,800.-43,196 km10/2021370 kW (503 hp)Demonstration1 previous ownerAutomaticGasoline10 l/100 km (comb.)246 g/km (comb.)",Emil Frey Mainfranken GmbH,Internet-Vertriebs Team • DE-97072 Würzburg,deutschland,146800,43196,10,Mercedes-Benz,1
Autobiography D350 Mild-Hybrid EU6d Allrad Sperrdi,10/2022,258 kW (351 hp),Demonstration,Automatic,Diesel,211 g/km (comb.),"Land Rover Range Rover Sport Autobiography D350 Mild-Hybrid EU6d Allrad Sperrdi€ 159,900.-4,000 km10/2022258 kW (351 hp)Demonstration1 previous ownerAutomaticDiesel8 l/100 km (comb.)211 g/km (comb.)",Moll Automobile GmbH  & Co. KG,Verkaufsteam Frechen • DE-50226 Frechen,deutschland,159900,4000,8,Land,1
SW Hybrid4 360 PSE*360°-Kam*Navi*Stahzg.*SHZ,09/2022,265 kW (360 hp),Demonstration,Automatic,Electric/Gasoline,40 g/km (comb.),"Peugeot 508 SW Hybrid4 360 PSE*360°-Kam*Navi*Stahzg.*SHZ€ 59,990.-1,000 km09/2022265 kW (360 hp)Demonstration1 previous ownerAutomaticElectric/Gasoline1.8 l/100 km (comb.)40 g/km (comb.)",Gromes Kraftfahrzeughandel Gmbh,Gromes • DE-85456 Wartenberg,deutschland,59990,1000,1.8,Peugeot,1
d 4M Progressive*AHK*FAP*360*Navi*LED*Shz,09/2018,140 kW (190 hp),Used,Automatic,Diesel,207 g/km (comb.),"PreviousNext1 / 18Mercedes-Benz X 250 d 4M Progressive*AHK*FAP*360*Navi*LED*ShzAdd to listShare€ 36,989.-85,200 km09/2018140 kW (190 hp)Used1 previous ownerAutomaticDiesel7.9 l/100 km (comb.)207 g/km (comb.)",Schreiner & Wöllenstein GmbH & Co. KG,DE-84347 Pfarrkirchen,deutschland,36989,85200,7.9,Mercedes-Benz,1
2.0 TDI QU.S-Tronic*Navi*Bi-Xenon*APS*,04/2015,140 kW (190 hp),Used,Automatic,Diesel,151 g/km (comb.),"PreviousNext1 / 22Audi Q5 2.0 TDI QU.S-Tronic*Navi*Bi-Xenon*APS*€ 18,800.-139,900 km04/2015140 kW (190 hp)Used- (Previous Owners)AutomaticDiesel5.7 l/100 km (comb.)151 g/km (comb.)",Nord-Automobile,DE-26180 Rastede/ Wahnbek,deutschland,18800,139900,5.7,Audi,0
R32 V Lim. (1K1),08/2006,184 kW (250 hp),Used,Manual,Gasoline,257 g/km (comb.),"Volkswagen Golf R32 V Lim. (1K1)€ 19,499.-171,980 km08/2006184 kW (250 hp)Used2 previous ownersManualGasoline10.7 l/100 km (comb.)257 g/km (comb.)",Klassik Autowelt Gotha UG (haftungsbeschränkt),Jan Gerhardt • DE-99867 Gotha,deutschland,19499,171980,10.7,Volkswagen,2
911 Carrera 4S 3.0 PANO/BOSE/ACC/PDC/CHRONO/SPORTA,09/2019,331 kW (450 hp),Used,Automatic,Gasoline,206 g/km (comb.),"Porsche 992 911 Carrera 4S 3.0 PANO/BOSE/ACC/PDC/CHRONO/SPORTA€ 129,992.-54,500 km09/2019331 kW (450 hp)Used2 previous ownersAutomaticGasoline9 l/100 km (comb.)206 g/km (comb.)",Löko  GmbH,Ihr Löko-Team • DE-50739 Köln-Bilderstöckchen,deutschland,129992,54500,9,Porsche,2
RF Edition 100 184 PS *BOSE*Kamera*Navi*,08/2020,135 kW (184 hp),Used,Manual,Gasoline,156 g/km (comb.),"Mazda MX-5 RF Edition 100 184 PS *BOSE*Kamera*Navi*€ 30,930.-31,501 km08/2020135 kW (184 hp)Used1 previous ownerManualGasoline6.9 l/100 km (comb.)156 g/km (comb.)",Autohaus Horst Wagner,Stefan Obenauf • DE-44287 Dortmund,deutschland,30930,31501,6.9,Mazda,1
"d T 4M AVANTGARDE WIDESCREEN,MULTIBEAM,SH",11/2017,190 kW (258 hp),Used,Automatic,Diesel,166 g/km (comb.),"Mercedes-Benz E 350 d T 4M AVANTGARDE WIDESCREEN,MULTIBEAM,SH€ 33,740.-71,767 km11/2017190 kW (258 hp)Used- (Previous Owners)AutomaticDiesel6.3 l/100 km (comb.)166 g/km (comb.)",Autohaus Royal GmbH,Verkaufsteam Schönefeld • DE-12529 Schönefeld,deutschland,33740,71767,6.3,Mercedes-Benz,0
Pilot XL Paket,12/2022,150 kW (204 hp),Demonstration,Automatic,Electric,0 g/km (comb.),"Cupra Born Pilot XL Paket€ 39,600.-2,000 km12/2022150 kW (204 hp)Demonstration1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)13.7 kWh/100 km (comb.)",Herrmann & Langer GmbH,Lutz Herrmann • DE-15745 Wildau,deutschland,39600,2000,,Cupra,1
Life **Navi/DAB**PANO**bhzb. Sitze**PDC + Kamera**,03/2022,100 kW (136 hp),Demonstration,Automatic,Electric,0 g/km (comb.),"Opel Combo-e Life **Navi/DAB**PANO**bhzb. Sitze**PDC + Kamera**€ 34,990.-6,500 km03/2022100 kW (136 hp)Demonstration1 previous ownerAutomaticElectric20 kWh/100 km0 g/km (comb.)",Autohaus Dresden GmbH,Ihr Verkaufsteam in Kaditz • DE-01139 Dresden,deutschland,34990,6500,,Opel,1
e Lim AMG+MBUXAdvancedP+SpurAssist+SHZ+PTS,09/2020,118 kW (160 hp),Used,Automatic,Electric/Gasoline,0 g/km (comb.),"Mercedes-Benz A 250 e Lim AMG+MBUXAdvancedP+SpurAssist+SHZ+PTS€ 32,835.-22,462 km09/2020118 kW (160 hp)Used1 previous ownerAutomaticElectric/Gasoline- (l/100 km)0 g/km (comb.)",Fahrzeug-Werke LUEG AG,Ihr LUEG Verkaufsteam • DE-45309 Essen,deutschland,32835,22462,,Mercedes-Benz,1
Long Range AWD Leder Schwarz Autopilot,12/2021,366 kW (498 hp),Used,Automatic,Electric,0 g/km (comb.),"Tesla Model 3 Long Range AWD Leder Schwarz Autopilot€ 46,980.-115 km12/2021366 kW (498 hp)Used1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)16 kWh/100 km (comb.)",Autohaus Stauner GmbH,Andreas Gogol • DE-93333 Neustadt a. d. Donau,deutschland,46980,115,,Tesla,1
2.0 TDI Cup | Bi-Xenon | Navi | Bluetooth,08/2016,103 kW (140 hp),Used,Manual,Diesel,125 g/km (comb.),"Volkswagen Touran 2.0 TDI Cup | Bi-Xenon | Navi | Bluetooth€ 13,900.-180,900 km08/2016103 kW (140 hp)Used2 previous ownersManualDiesel4.8 l/100 km (comb.)125 g/km (comb.)",Autohaus Otto Model GmbH & Co. KG,Andreas Orban • DE-74572 Blaufelden-Wiesenbach,deutschland,13900,180900,4.8,Volkswagen,2
Cabriolet 2.5 TDI/Xenon/Navi/Klima/PDC/Tempo,10/2005,120 kW (163 hp),Used,Automatic,Diesel,197 g/km (comb.),"Audi A4 Cabriolet 2.5 TDI/Xenon/Navi/Klima/PDC/Tempo€ 7,490.-149,492 km10/2005120 kW (163 hp)Used2 previous ownersAutomaticDiesel7.3 l/100 km (comb.)197 g/km (comb.)",Hauck Automobile GmbH,Fatih Yildiz • DE-67098 Bad Duerkheim,deutschland,7490,149492,7.3,Audi,2
Pro Performance Tech #Navi #Klima #Panoramadach,11/2020,150 kW (204 hp),Used,Automatic,Electric,0 g/km (comb.),"Volkswagen ID.3 Pro Performance Tech #Navi #Klima #Panoramadach€ 36,990.-34,497 km11/2020150 kW (204 hp)Used1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)",Autohaus Steinhart & Kraus GmbH & Co.KG,Gerhard Kraus • DE-88499 Riedlingen,deutschland,36990,34497,,Volkswagen,1
xDrive30e HYBRID+M-SPORT+HuD+H/K+DAB+DRIVE-ASSI+SH,06/2020,215 kW (292 hp),Used,Automatic,Electric/Gasoline,54 g/km (comb.),"BMW X3 xDrive30e HYBRID+M-SPORT+HuD+H/K+DAB+DRIVE-ASSI+SH€ 56,550.-42,579 km06/2020215 kW (292 hp)Used1 previous ownerAutomaticElectric/Gasoline2.4 l/100 km (comb.)54 g/km (comb.)",Procar Automobile Münsterland GmbH,Verkaufsteam Münster • DE-48163 Münster,deutschland,56550,42579,2.4,BMW,1
Comfortline 2.0 TDI DSG*Navi*PDC* Comfortline,02/2019,110 kW (150 hp),Used,Automatic,Diesel,140 g/km (comb.),"Volkswagen Golf Variant Comfortline 2.0 TDI DSG*Navi*PDC* Comfortline€ 16,490.-99,198 km02/2019110 kW (150 hp)Used- (Previous Owners)AutomaticDiesel4.4 l/100 km (comb.)140 g/km (comb.)",Nord-Automobile,DE-26180 Rastede/ Wahnbek,deutschland,16490,99198,4.4,Volkswagen,0
d 4Matic AMG*HEAD-UP*PANO*BURMESTER*23' AMG Line,- (First Registration),243 kW (330 hp),New,Automatic,Diesel,231 g/km (comb.),"Mercedes-Benz GLS 400 d 4Matic AMG*HEAD-UP*PANO*BURMESTER*23' AMG Line€ 149,980.-14 km- (First Registration)243 kW (330 hp)New- (Previous Owners)AutomaticDiesel8.8 l/100 km231 g/km (comb.)",C.E.Motors GmbH & Co.KG,Alexander Schuldeis • DE-53489 Sinzig,deutschland,149980,14,8.8,Mercedes-Benz,0
"i LUXURY LINE KAMERA,HIFI,SPORTSITZE,MEMORY",01/2015,135 kW (184 hp),Used,Automatic,Gasoline,144 g/km (comb.),"BMW 520 i LUXURY LINE KAMERA,HIFI,SPORTSITZE,MEMORY€ 21,480.-99,458 km01/2015135 kW (184 hp)Used- (Previous Owners)AutomaticGasoline6.2 l/100 km (comb.)144 g/km (comb.)",Autohaus Royal GmbH,Verkaufsteam Schönefeld • DE-12529 Schönefeld,deutschland,21480,99458,6.2,BMW,0
The Beetle Cabriolet,03/2013,118 kW (160 hp),Used,Manual,Gasoline,158 g/km (comb.),"Volkswagen Käfer The Beetle Cabriolet€ 15,930.-99,138 km03/2013118 kW (160 hp)Used2 previous ownersManualGasoline6.8 l/100 km (comb.)158 g/km (comb.)",AHG Autohandelsgesellschaft mbH,- - • DE-72800 Eningen b. Reutlingen,deutschland,15930,99138,6.8,Volkswagen,2
xDrive Coupe Sport Aut. Head-Up,06/2022,275 kW (374 hp),Used,Automatic,Gasoline,186 g/km (comb.),"BMW 240 xDrive Coupe Sport Aut. Head-Up€ 57,850.-5,058 km06/2022275 kW (374 hp)Used1 previous ownerAutomaticGasoline8.2 l/100 km (comb.)186 g/km (comb.)",AHG Autohandelsgesellschaft mbH,Schäuble • DE-75365 Calw,deutschland,57850,5058,8.2,BMW,1
d Cabrio /KLIMA/TEILLEDER/PDC/GARANTIE,03/2010,105 kW (143 hp),Used,Manual,Diesel,130 g/km (comb.),"BMW 118 d Cabrio /KLIMA/TEILLEDER/PDC/GARANTIE€ 11,990.-120,000 km03/2010105 kW (143 hp)Used- (Previous Owners)ManualDiesel4.9 l/100 km (comb.)130 g/km (comb.)",Automobile Trier,V. Martaler • DE-54340 Bekond,deutschland,11990,120000,4.9,BMW,0
4.0 q *TOPP-AUSSTATTUNG*,03/2019,320 kW (435 hp),Used,Automatic,Diesel,199 g/km (comb.),"PreviousNext1 / 19Audi SQ7 4.0 q *TOPP-AUSSTATTUNG*Add to listShare€ 64,785.-71,500 km03/2019320 kW (435 hp)Used- (Previous Owners)AutomaticDiesel7.6 l/100 km (comb.)199 g/km (comb.)",Zeitgeist Automobile GmbH,Ulf Dannenmann • DE-14480 Potsdam,deutschland,64785,71500,7.6,Audi,0
2.0 TDI quattro S-Line Bi-Xenon Pano AHK EU6,10/2014,140 kW (190 hp),Used,Automatic,Diesel,151 g/km (comb.),"PreviousNext1 / 16Audi Q5 2.0 TDI quattro S-Line Bi-Xenon Pano AHK EU6€ 22,990.-122,000 km10/2014140 kW (190 hp)Used2 previous ownersAutomaticDiesel5.7 l/100 km (comb.)151 g/km (comb.)",Auto Jesse GmbH & Co. KG,Carlo Jesse • DE-49477 Ibbenbüren,deutschland,22990,122000,5.7,Audi,2
740d BLACK & BEIGE / SCHIEBEDACH / XENON /,12/2009,225 kW (306 hp),Used,Automatic,Diesel,0 g/km (comb.),"BMW 740 740d BLACK & BEIGE / SCHIEBEDACH / XENON /€ 19,777.-166,000 km12/2009225 kW (306 hp)Used- (Previous Owners)AutomaticDiesel- (l/100 km)0 g/km (comb.)",AUTOHAUS EXCELLENCE CARS GmbH & Co. KG,Ihr Verkaufsteam • DE-59077 Hamm,deutschland,19777,166000,,BMW,0
9G AMG+Sitzklima+Distro+HiFi+MagicSky+ABC,04/2019,335 kW (455 hp),Used,Automatic,Gasoline,- (g/km),"Mercedes-Benz SL 500 9G AMG+Sitzklima+Distro+HiFi+MagicSky+ABC€ 102,855.-13,130 km04/2019335 kW (455 hp)Used1 previous ownerAutomaticGasoline- (l/100 km)- (g/km)",Emil Frey Kassel/Göttingen GmbH,Internet-Vertriebs Team • DE-34123 Kassel,deutschland,102855,13130,,Mercedes-Benz,1
CLA 45 AMG 4M SB Keyless CarPlay COMAND Panorama,05/2016,280 kW (381 hp),Used,Automatic,Gasoline,162 g/km (comb.),"Mercedes-Benz CLA 45 AMG CLA 45 AMG 4M SB Keyless CarPlay COMAND Panorama€ 29,800.-119,040 km05/2016280 kW (381 hp)Used2 previous ownersAutomaticGasoline6.9 l/100 km (comb.)162 g/km (comb.)",Paul Lüske GmbH,Team Verkauf • DE-49661 Cloppenburg,deutschland,29800,119040,6.9,Mercedes-Benz,2
Highline Massage*Pano*Cam*Side*Totwinkel*,02/2016,135 kW (184 hp),Used,Automatic,Diesel,138 g/km (comb.),"Volkswagen Sharan Highline Massage*Pano*Cam*Side*Totwinkel*€ 22,990.-226,800 km02/2016135 kW (184 hp)Used1 previous ownerAutomaticDiesel5.3 l/100 km (comb.)138 g/km (comb.)",Royal Cars GmbH,Hamid Walizada • DE-22111 Hamburg,deutschland,22990,226800,5.3,Volkswagen,1
310 L2 Titanium / EURO 6 / NAVI,04/2017,125 kW (170 hp),Used,Manual,Diesel,183 g/km (comb.),"Ford Tourneo Custom 310 L2 Titanium / EURO 6 / NAVI€ 29,990.-133,078 km04/2017125 kW (170 hp)Used- (Previous Owners)ManualDiesel7 l/100 km (comb.)183 g/km (comb.)",M & S Automobile-Steinfeld,Sardar Schakir • DE-49439 Steinfeld,deutschland,29990,133078,7,Ford,0
Dual Motor Long Range ACC Auto-Pilot LED Leder Pan,- (First Registration),366 kW (498 hp),New,Automatic,Electric,0 g/km (comb.),"Tesla Model 3 Dual Motor Long Range ACC Auto-Pilot LED Leder Pan€ 65,680.-5 km- (First Registration)366 kW (498 hp)New- (Previous Owners)AutomaticElectric14.8 kWh/100 km0 g/km (comb.)",Autohaus Stauner GmbH,Andreas Gogol • DE-93333 Neustadt a. d. Donau,deutschland,65680,5,,Tesla,0
Cabrio CGI Automatik Nackenheizung,04/2014,135 kW (184 hp),Used,Automatic,Gasoline,151 g/km (comb.),"Mercedes-Benz E 200 Cabrio CGI Automatik Nackenheizung€ 23,999.-78,000 km04/2014135 kW (184 hp)Used2 previous ownersAutomaticGasoline6.4 l/100 km (comb.)151 g/km (comb.)",Gebrauchtwagenhandel Wagner GmbH,DE-06847 Dessau,deutschland,23999,78000,6.4,Mercedes-Benz,2
4M AMG/Comand/Multibeam/PanoD/R-Kam/Night Autom.,09/2020,245 kW (333 hp),Used,Automatic,Gasoline,178 g/km (comb.),"Mercedes-Benz C 400 4M AMG/Comand/Multibeam/PanoD/R-Kam/Night Autom.€ 47,630.-29,600 km09/2020245 kW (333 hp)Used1 previous ownerAutomaticGasoline7.8 l/100 km (comb.)178 g/km (comb.)",F/G/M Automobil GmbH,DE-15517 Fürstenwalde,deutschland,47630,29600,7.8,Mercedes-Benz,1
"S Diesel SCHECKHEFT 1.HAND,LUFT,20ZOLL,AHK",05/2014,190 kW (258 hp),Used,Automatic,Diesel,161 g/km (comb.),"Porsche Macan S Diesel SCHECKHEFT 1.HAND,LUFT,20ZOLL,AHK€ 38,740.-96,600 km05/2014190 kW (258 hp)Used1 previous ownerAutomaticDiesel6.1 l/100 km (comb.)161 g/km (comb.)",Autohaus Royal GmbH,Verkaufsteam Schönefeld • DE-12529 Schönefeld,deutschland,38740,96600,6.1,Porsche,1
3.0 TDI competition quattro Navi/ACC/Leder/Ka,06/2017,240 kW (326 hp),Used,Automatic,Diesel,169 g/km (comb.),"Audi A6 3.0 TDI competition quattro Navi/ACC/Leder/Ka€ 37,990.-94,000 km06/2017240 kW (326 hp)Used- (Previous Owners)AutomaticDiesel6.4 l/100 km (comb.)169 g/km (comb.)",Autohaus Wenden GmbH,DE-38110 Braunschweig,deutschland,37990,94000,6.4,Audi,0
"Li xD V12 NightVisi M Driver´s  B&W 21"" Voll",06/2019,448 kW (609 hp),Used,Automatic,Gasoline,294 g/km (comb.),"BMW 760 Li xD V12 NightVisi M Driver´s  B&W 21"" Voll€ 157,999.-57,987 km06/2019448 kW (609 hp)Used- (Previous Owners)AutomaticGasoline12.8 l/100 km (comb.)294 g/km (comb.)",Autohaus Isernhagen e.K.,Ann-Kathrin Franitza • DE-30916 Isernhagen,deutschland,157999,57987,12.8,BMW,0
2.4 4WD Plug-In Hybrid Intro Edition,01/2019,165 kW (224 hp),Used,Automatic,Electric/Gasoline,46 g/km (comb.),"Mitsubishi Outlander 2.4 4WD Plug-In Hybrid Intro Edition€ 28,980.-80,740 km01/2019165 kW (224 hp)Used1 previous ownerAutomaticElectric/Gasoline1.8 l/100 km (comb.)46 g/km (comb.)",Autohaus H&H GmbH,"Glenn Wolter, Sven Helterhoff • DE-14727 Premnitz",deutschland,28980,80740,1.8,Mitsubishi,1
2.0 CRDi AWD /AUTOMATIK/NAVI/KAMERA,01/2015,135 kW (184 hp),Used,Automatic,Diesel,189 g/km (comb.),"Kia Sportage 2.0 CRDi AWD /AUTOMATIK/NAVI/KAMERA€ 16,990.-74,000 km01/2015135 kW (184 hp)Used1 previous ownerAutomaticDiesel7.2 l/100 km (comb.)189 g/km (comb.)",Automobile Trier,V. Martaler • DE-54340 Bekond,deutschland,16990,74000,7.2,Kia,1
e  AMG-Line*Night*LED*Kamera*PDC*Navi*MBUX,10/2020,118 kW (160 hp),Used,Automatic,Electric/Gasoline,157 g/km (comb.),"Mercedes-Benz A 250 e  AMG-Line*Night*LED*Kamera*PDC*Navi*MBUX€ 33,849.-21,731 km10/2020118 kW (160 hp)Used1 previous ownerAutomaticElectric/Gasoline6.9 l/100 km157 g/km (comb.)",Autohaus Bruno Widmann GmbH & Co. KG,Widmann - Kundenbetreuung • DE-73431 Aalen,deutschland,33849,21731,6.9,Mercedes-Benz,1
Electric Techno Klima Navi Rückfahrkamera,08/2022,160 kW (218 hp),Demonstration,Automatic,Electric,0 g/km (comb.),"Renault Megane E-Tech Electric Techno Klima Navi Rückfahrkamera€ 41,770.-8,900 km08/2022160 kW (218 hp)Demonstration1 previous ownerAutomaticElectric- (l/100 km)0 g/km (comb.)16.8 kWh/100 km (comb.)",Autohaus von der Weppen GmbH & Co. KG,Verkauf Friesenheim • DE-77948 Friesenheim,deutschland,41770,8900,,Renault,1
